Record Length,2500,Points,time1,volt1,,Record Length,2500,Points,time2,volt2
,,,1.59E-04,-4.00E-02,,,,,1.59E-04,3.03999996
,,,1.59E-04,0,,,,,1.59E-04,2.96000004
,,,1.60E-04,-2.00E-02,,,,,1.60E-04,2.96000004
,,,1.60E-04,-2.00E-02,,,,,1.60E-04,2.87999988
,,,1.60E-04,0,,,,,1.60E-04,2.96000004
,,,1.61E-04,-2.00E-02,,,,,1.61E-04,3.11999989
,,,1.61E-04,-2.00E-02,,,,,1.61E-04,2.96000004
,,,1.62E-04,0,,,,,1.62E-04,2.96000004
,,,1.62E-04,-4.00E-02,,,,,1.62E-04,3.03999996
,,,1.62E-04,2.00E-02,,,,,1.62E-04,2.96000004
,,,1.63E-04,-4.00E-02,,,,,1.63E-04,2.96000004
,,,1.63E-04,-2.00E-02,,,,,1.63E-04,2.87999988
,,,1.64E-04,-2.00E-02,,,,,1.64E-04,3.03999996
,,,1.64E-04,-2.00E-02,,,,,1.64E-04,2.87999988
,,,1.64E-04,-2.00E-02,,,,,1.64E-04,2.96000004
,,,1.65E-04,0,,,,,1.65E-04,2.96000004
,,,1.65E-04,-2.00E-02,,,,,1.65E-04,2.87999988
